record_id,sender_role,source,timestamp,content,emotion,subtlety,is_discrimination,discrimination_type,severity
1,employee,email,2024-01-15 08:15:30,im extremely frustrated recent changes our team structure it feels like my contributions are being overlooked,frustration,overt,no,,n/a
2,employee,text,2024-01-16 09:00:45,i cant believe how unfairly im being treated im so angry right now,anger,overt,no,,n/a
3,employee,feedback_form,2024-01-17 10:22:10,i feel disrespected undervalued managements decisions are causing me anxiety deep disappointment,anxiety;disappointment,overt,no,,n/a
4,employee,email,2024-01-18 11:45:00,i am deeply saddened constant criticism lack support it feels unbearable sometimes,sadness,overt,no,,n/a
5,employee,feedback_form,2024-01-19 14:30:20,recent decisions have left me feeling anxious fearful about my future this company,anxiety;fear,overt,no,,n/a
6,employee,text,2024-01-20 12:00:00,this outrageous im infuriated way project was handled without our input,anger;frustration,overt,no,,n/a
7,employee,email,2024-01-21 15:10:05,latest company update has left me feeling completely ignored unappreciated my concerns are not taken seriously,resentment,overt,no,,n/a
8,employee,feedback_form,2024-01-22 16:25:30,i feel isolated left out important decisions my suggestions are often dismissed if theyre not worth considering,anxiety;isolation;frustration,subtle,no,,n/a
9,employee,text,2024-01-23 17:00:15,im furious about how new schedule was announced without any consultation,anger,overt,no,,n/a
10,employee,email,2024-01-24 09:35:50,i feel overwhelmed workload unrecognized efforts lack support disheartening,sadness;frustration,overt,no,,n/a
11,employee,feedback_form,2024-01-25 13:15:40,sometimes i feel that my suggestions are dismissed because i dont exactly fit culture this team it leaves me questioning if my background seen disadvantage,insecurity;sadness,subtle,no,,n/a
12,manager,email,2024-01-26 08:05:30,i find it hard work people certain backgrounds frankly i think their way doing things inferior hampers our progress,disdain;anger,overt,yes,racist,high
13,manager,feedback_form,2024-01-27 09:20:10,your performance has been acceptable but honestly i expected more someone your gender perhaps its matter natural aptitude,condescension,subtle,yes,sexist,high
14,manager,email,2024-01-28 10:45:00,while i appreciate your creativity your ideas often reflect perspective overly influenced your cultural background we prefer more conventional approach here,condescension;annoyance,subtle,yes,racist,medium
15,manager,text,2024-01-29 07:50:20,frankly i dont believe women are cut out highpressure negotiations it might be best if you stick roles that suit your natural strengths,condescension,overt,yes,sexist,high
16,manager,email,2024-01-30 12:40:10,i think your background significant distraction i recommend you focus more assimilating than bringing your unique perspective into play,irritation;condescension,subtle,yes,racist,medium
17,employee,feedback_form,2024-01-31 15:55:00,i feel betrayed decisions made without considering impact employees it seems only select few are favored,betrayal;sadness,overt,no,,n/a
18,employee,text,2024-02-01 10:20:05,im extremely dissatisfied current state affairs work nothing being handled correctly,dissatisfaction;frustration,overt,no,,n/a
19,employee,email,2024-02-02 14:05:45,im anxious irritated constant changes that disrupt my workflow,anxiety;irritation,overt,no,,n/a
20,employee,feedback_form,2024-02-03 09:10:15,i feel undervalued belittled every time i try speak up meetings,resentment;frustration,overt,no,,n/a
21,manager,email,2024-02-04 11:12:00,your performance has been lacking i suspect its partly because youre not aggressive your male counterparts,condescension;frustration,subtle,yes,sexist,high
22,manager,feedback_form,2024-02-05 10:30:00,i expect you work harder but maybe you should consider if this role really meant someone your background,irritation;condescension,overt,yes,racist,high
23,employee,text,2024-02-06 08:50:00,im really upset that my suggestions are constantly dismissed meetings,anger;disappointment,overt,no,,n/a
24,manager,email,2024-02-07 09:40:00,your ideas are interesting but they often come off too exotic our traditional work environment,condescension;annoyance,subtle,yes,racist,medium
25,manager,feedback_form,2024-02-08 12:00:00,i dont think you would be capable handling this task effectively its better suited someone natural aptitude rather than someone who might be too emotional,condescension;frustration,subtle,yes,sexist,high
26,employee,text,2024-02-09 11:30:00,sometimes it feels like my contributions are just token gesture if im only here fill diversity quota,resentment;sadness,subtle,no,,n/a
27,manager,email,2024-02-10 14:15:00,your approach problemsolving bit too unconventional perhaps you should consider sticking tried true methods that most your position find comfortable,condescension,subtle,no,,n/a
28,manager,email,2024-02-11 09:05:00,i believe your performance issues stem your inability fully embrace our companys culture it might be time consider if you really belong here,condescension;frustration,subtle,yes,discriminatory,high
29,employee,feedback_form,2024-02-12 10:55:00,i feel that some comments meetings are not just criticisms but veiled insults targeting my identity it makes me feel marginalized,sadness;frustration;isolation,subtle,no,,n/a
30,manager,text,2024-02-13 11:00:00,i dont understand why you need extra time off people your role typically manage their time better dont let minor setbacks affect them so much,irritation;condescension,subtle,yes,sexist,high
31,employee,email,2024-02-14 08:00:00,i dont think im being considered promotions because im woman,disappointment,overt,yes,sexist,high
